"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
f8_multivit_4_mths_prepreg,form_8_current_pregnancy_ii,,text,"No. of months taken <em>[f8_multivit_4]</em> <font color=""red"">(pre-preg)</font>",,,number,,,,"[f8_multivit_4] <>''",,,,,,
f8_multivit_4_freq_prepreg,form_8_current_pregnancy_ii,,dropdown,"Frequency <em>of [f8_multivit_4]</em> <font color=""red"">(pre-preg)</font>","1, Daily | 2, Less than daily | 3, Unknown | 4, n/a",,,,,,"[f8_multivit_4] <>''",,,,,,
f8_multivit_4_wks_1st_trim,form_8_current_pregnancy_ii,,text,"No. of weeks taken <em>[f8_multivit_4]</em> <font color=""red"">(1st trim)</font>",,"[enter 0 if none]",number,,,,"[f8_multivit_4] <>''",,,,,,
f8_multivit_4_fq_1st_trim,form_8_current_pregnancy_ii,,dropdown,"Frequency <em>of [f8_multivit_4]</em> <font color=""red"">(1st trim)</font>","1, Daily | 2, Less than daily | 3, Unknown | 4, n/a",,,,,,"[f8_multivit_4_wks_1st_trim] > 0",,,,,,
ab32_2572_f84,form_8_current_pregnancy_ii,,descriptive,"<hr />",,,,,,,"[f8_multivit_4] <>''",,,,,,
f8_multivit_5,form_8_current_pregnancy_ii,,dropdown,"<em>Fifth</em> multivitamin taken","34, Active & restore women's multivitamin (Nature's Own) | 35, Alive! Women's multi (Blackmore's) | 36, Concieve Well gold (Blackmores) | 37, Elevit (Elevit) | 38, Fabfol Pregnancy Vitamins and Minerals + Iodine (Fabfol) | 41, I-folic (Blackmores) | 42, Mega potency women's multi (Nature's Own) | 43, Multi Plus Pregnancy and Breastfeeding (Cenovis) | 44, Natal Nutrients (Zycia) | 45, Once daily multi plus hair, skin and nails (Cenovis) | 46, Once daily women's multi (Cenovis) | 47, Once daily women's multi plus energy (Cenovis) | 48, Pregnancy & Breastfeeding Multivitamin (MICROgenics) | 49, Pregnancy + Ulitivite (Swisse) | 50, Pregnancy and breastfeeding (standard) (Cenovis) | 51, Pregnancy and breastfeeding gold (Blackmores) | 52, Pregnancy essentials (Ostelin) | 53, Pregnancy Platinum (Nature's Own) | 54, Prenatal complete (Biovea) | 55, Prenatal multivitamin with DHA (Biovea) | 56, Rest & Restore Night Multivitamin (Nature's Way) | 57, Ultiboost Folic acid +iodine (Swisse) | 58, Women's Mini Multivitamin (Nature's Way) | 59, Women's multi (Elevit) | 60, Women's multivitamin (Biovea) | 61, women's multivitamin (food based) (Biovea) | 62, Women's Power Ultivite (Swisse) | 63, Women's Ultivite (Swisse) | 64, Women's Ultivite F1 caps (Swisse) | 65, Women's vitality multi (Blackmore's) | 66, Women's Wellness Multivitamin & Minerals (MICROgenics) | 67, Vegan Prenatal Multivitamin & Mineral (Deva) | 68, InNatal plus Iron (BioCeuticals) | 69, Pregnancy Care (Metagenics) | 70, Complete Daily with spirulina (Nature's Way) | 71, Fefol Multi-Preg with Omega 3 and Iron (Fefol) | 72, Basic Prenatal (Thorne Research) | 73, Adult Multivitamins Plus Botanicals (Modere)",,autocomplete,,,,"[f8_multivit_4] <>''",,,,,,
f8_multivit_5_mths_prepreg,form_8_current_pregnancy_ii,,text,"No. of months taken <em>[f8_multivit_5]</em> <font color=""red"">(pre-preg)</font>",,,number,,,,"[f8_multivit_5] <>''",,,,,,
f8_multivit_5_freq_prepreg,form_8_current_pregnancy_ii,,dropdown,"Frequency <em>of [f8_multivit_5]</em> <font color=""red"">(pre-preg)</font>","1, Daily | 2, Less than daily | 3, Unknown | 4, n/a",,,,,,"[f8_multivit_5] <>''",,,,,,
f8_multivit_5_wks_1st_trim,form_8_current_pregnancy_ii,,text,"No. of weeks taken <em>[f8_multivit_5]</em> <font color=""red"">(1st trim)</font>",,"[enter 0 if none]",number,,,,"[f8_multivit_5] <>''",,,,,,
f8_multivit_5_fq_1st_trim,form_8_current_pregnancy_ii,,dropdown,"Frequency <em>of [f8_multivit_5]</em> <font color=""red"">(1st trim)</font>","1, Daily | 2, Less than daily | 3, Unknown | 4, n/a",,,,,,"[f8_multivit_5_wks_1st_trim] > 0",,,,,,
ab32_2572_f842_624,form_8_current_pregnancy_ii,,descriptive,"<hr />",,,,,,,"[f8_multivit_4] <>''",,,,,,
f8_multivit_6,form_8_current_pregnancy_ii,,dropdown,"<em>Sixth</em> multivitamin taken","34, Active & restore women's multivitamin (Nature's Own) | 35, Alive! Women's multi (Blackmore's) | 36, Concieve Well gold (Blackmores) | 37, Elevit (Elevit) | 38, Fabfol Pregnancy Vitamins and Minerals + Iodine (Fabfol) | 41, I-folic (Blackmores) | 42, Mega potency women's multi (Nature's Own) | 43, Multi Plus Pregnancy and Breastfeeding (Cenovis) | 44, Natal Nutrients (Zycia) | 45, Once daily multi plus hair, skin and nails (Cenovis) | 46, Once daily women's multi (Cenovis) | 47, Once daily women's multi plus energy (Cenovis) | 48, Pregnancy & Breastfeeding Multivitamin (MICROgenics) | 49, Pregnancy + Ulitivite (Swisse) | 50, Pregnancy and breastfeeding (standard) (Cenovis) | 51, Pregnancy and breastfeeding gold (Blackmores) | 52, Pregnancy essentials (Ostelin) | 53, Pregnancy Platinum (Nature's Own) | 54, Prenatal complete (Biovea) | 55, Prenatal multivitamin with DHA (Biovea) | 56, Rest & Restore Night Multivitamin (Nature's Way) | 57, Ultiboost Folic acid +iodine (Swisse) | 58, Women's Mini Multivitamin (Nature's Way) | 59, Women's multi (Elevit) | 60, Women's multivitamin (Biovea) | 61, women's multivitamin (food based) (Biovea) | 62, Women's Power Ultivite (Swisse) | 63, Women's Ultivite (Swisse) | 64, Women's Ultivite F1 caps (Swisse) | 65, Women's vitality multi (Blackmore's) | 66, Women's Wellness Multivitamin & Minerals (MICROgenics) | 67, Vegan Prenatal Multivitamin & Mineral (Deva) | 68, InNatal plus Iron (BioCeuticals) | 69, Pregnancy Care (Metagenics) | 70, Complete Daily with spirulina (Nature's Way) | 71, Fefol Multi-Preg with Omega 3 and Iron (Fefol) | 72, Basic Prenatal (Thorne Research) | 73, Adult Multivitamins Plus Botanicals (Modere)",,autocomplete,,,,"[f8_multivit_5] <>''",,,,,,
f8_multivit_6_mths_prepreg,form_8_current_pregnancy_ii,,text,"No. of months taken <em>[f8_multivit_6]</em> <font color=""red"">(pre-preg)</font>",,,number,,,,"[f8_multivit_6] <>''",,,,,,
f8_multivit_6_freq_prepreg,form_8_current_pregnancy_ii,,dropdown,"Frequency <em>of [f8_multivit_6]</em> <font color=""red"">(pre-preg)</font>","1, Daily | 2, Less than daily | 3, Unknown | 4, n/a",,,,,,"[f8_multivit_6] <>''",,,,,,
f8_multivit_6_wks_1st_trim,form_8_current_pregnancy_ii,,text,"No. of weeks taken <em>[f8_multivit_6]</em> <font color=""red"">(1st trim)</font>",,"[enter 0 if none]",number,,,,"[f8_multivit_6] <>''",,,,,,
f8_multivit_6_fq_1st_trim,form_8_current_pregnancy_ii,,dropdown,"Frequency <em>of [f8_multivit_6]</em> <font color=""red"">(1st trim)</font>","1, Daily | 2, Less than daily | 3, Unknown | 4, n/a",,,,,,"[f8_multivit_6_wks_1st_trim] > 0",,,,,,
ab32_2572_f842_6242_1fd,form_8_current_pregnancy_ii,,descriptive,"<hr />",,,,,,,"[f8_multivit_5] <>''",,,,,,
f8_multivit_7,form_8_current_pregnancy_ii,,dropdown,"<em>Seventh</em> multivitamin taken","34, Active & restore women's multivitamin (Nature's Own) | 35, Alive! Women's multi (Blackmore's) | 36, Concieve Well gold (Blackmores) | 37, Elevit (Elevit) | 38, Fabfol Pregnancy Vitamins and Minerals + Iodine (Fabfol) | 41, I-folic (Blackmores) | 42, Mega potency women's multi (Nature's Own) | 43, Multi Plus Pregnancy and Breastfeeding (Cenovis) | 44, Natal Nutrients (Zycia) | 45, Once daily multi plus hair, skin and nails (Cenovis) | 46, Once daily women's multi (Cenovis) | 47, Once daily women's multi plus energy (Cenovis) | 48, Pregnancy & Breastfeeding Multivitamin (MICROgenics) | 49, Pregnancy + Ulitivite (Swisse) | 50, Pregnancy and breastfeeding (standard) (Cenovis) | 51, Pregnancy and breastfeeding gold (Blackmores) | 52, Pregnancy essentials (Ostelin) | 53, Pregnancy Platinum (Nature's Own) | 54, Prenatal complete (Biovea) | 55, Prenatal multivitamin with DHA (Biovea) | 56, Rest & Restore Night Multivitamin (Nature's Way) | 57, Ultiboost Folic acid +iodine (Swisse) | 58, Women's Mini Multivitamin (Nature's Way) | 59, Women's multi (Elevit) | 60, Women's multivitamin (Biovea) | 61, women's multivitamin (food based) (Biovea) | 62, Women's Power Ultivite (Swisse) | 63, Women's Ultivite (Swisse) | 64, Women's Ultivite F1 caps (Swisse) | 65, Women's vitality multi (Blackmore's) | 66, Women's Wellness Multivitamin & Minerals (MICROgenics) | 67, Vegan Prenatal Multivitamin & Mineral (Deva) | 68, InNatal plus Iron (BioCeuticals) | 69, Pregnancy Care (Metagenics) | 70, Complete Daily with spirulina (Nature's Way) | 71, Fefol Multi-Preg with Omega 3 and Iron (Fefol) | 72, Basic Prenatal (Thorne Research) | 73, Adult Multivitamins Plus Botanicals (Modere)",,autocomplete,,,,"[f8_multivit_6] <>''",,,,,,
f8_multivit_7_mths_prepreg,form_8_current_pregnancy_ii,,text,"No. of months taken <em>[f8_multivit_7]</em> <font color=""red"">(pre-preg)</font>",,,number,,,,"[f8_multivit_7] <>''",,,,,,
f8_multivit_7_freq_prepreg,form_8_current_pregnancy_ii,,dropdown,"Frequency <em>of [f8_multivit_7]</em> <font color=""red"">(pre-preg)</font>","1, Daily | 2, Less than daily | 3, Unknown | 4, n/a",,,,,,"[f8_multivit_7] <>''",,,,,,
f8_multivit_7_wks_1st_trim,form_8_current_pregnancy_ii,,text,"No. of weeks taken <em>[f8_multivit_7]</em> <font color=""red"">(1st trim)</font>",,"[enter 0 if none]",number,,,,"[f8_multivit_7] <>''",,,,,,
f8_multivit_7_fq_1st_trim,form_8_current_pregnancy_ii,,dropdown,"Frequency <em>of [f8_multivit_7]</em> <font color=""red"">(1st trim)</font>","1, Daily | 2, Less than daily | 3, Unknown | 4, n/a",,,,,,"[f8_multivit_7_wks_1st_trim] > 0",,,,,,
ab32_2572_f842_6242_12_0a8,form_8_current_pregnancy_ii,,descriptive,"<hr />",,,,,,,"[f8_multivit_7] <>''",,,,,,
f8_multivit_more,form_8_current_pregnancy_ii,,notes,"More multivitamins: (please list one per line)",,"[Leave blank if none]<br>name, mths taken (pre), freq (pre), wks taken (1st trim), freq (1st trim)",,,,,"[f8_multivit_7] <>''",,LH,,,,
f8_supp_1,form_8_current_pregnancy_ii,"<div style=""font-size: 1.2em""><font color=""blue"">b) Other supplements, herbal and alternative medicines</div></font>",text,Medication,,"[Leave blank if none]<br>name, brand",,,,,,,,,,,
f8_supp_1_dose,form_8_current_pregnancy_ii,,text,"Dose <em>of [f8_supp_1]</em>",,"(eg 1 tablet)",,,,,"[f8_supp_1] <>''",,,,,,
f8_supp_1_mths_pre,form_8_current_pregnancy_ii,,text,"No. of months taken <em>[f8_supp_1]</em> <font color=""red"">(pre-preg)</font>",,,number,,,,"[f8_supp_1] <>''",,,,,,
f8_supp_1_fq_pre,form_8_current_pregnancy_ii,,text,"Frequency <em>of [f8_supp_1]</em> <font color=""red"">(pre-preg)</font>",,"(eg. 2 daily)",,,,,"[f8_supp_1] <>''",,,,,,
f8_supp_1_wks_1st_trim,form_8_current_pregnancy_ii,,text,"No. of wks taken <em>[f8_supp_1]</em> <font color=""red"">(1st trim)</font>",,"[enter 0 if none]",number,,,,"[f8_supp_1] <>''",,,,,,
f8_supp_1_fq_1st_trim,form_8_current_pregnancy_ii,,text,"Frequency <em>of [f8_supp_1]</em> <font color=""red"">(1st trim)</font>",,"(eg. 2 daily)",,,,,[f8_supp_1_wks_1st_trim]>0,,,,,,
ab4,form_8_current_pregnancy_ii,,descriptive,"<hr />",,,,,,,"[f8_supp_1] <>''",,,,,,
f8_supp_2,form_8_current_pregnancy_ii,,text,"<em>Second</em> medication",,"[Leave blank if none]<br>name, brand",,,,,"[f8_supp_1] <>''",,,,,,
f8_supp_2_dose,form_8_current_pregnancy_ii,,text,"Dose <em>of [f8_supp_2]</em>",,"(eg 1 tablet)",,,,,"[f8_supp_2] <>''",,,,,,
f8_supp_2_mths_pre,form_8_current_pregnancy_ii,,text,"No. of months taken <em>[f8_supp_2]</em> <font color=""red"">(pre-preg)</font>",,,number,,,,"[f8_supp_2] <>''",,,,,,
f8_supp_2_fq_pre,form_8_current_pregnancy_ii,,text,"Frequency <em>of [f8_supp_2]</em> <font color=""red"">(pre-preg)</font>",,"(eg. 2 daily)",,,,,"[f8_supp_2] <>''",,,,,,
f8_supp_2_wks_1st_trim,form_8_current_pregnancy_ii,,text,"No. of wks taken <em>[f8_supp_2]</em> <font color=""red"">(1st trim)</font>",,"[enter 0 if none]",number,,,,"[f8_supp_2] <>''",,,,,,
f8_supp_2_fq_1st_trim,form_8_current_pregnancy_ii,,text,"Frequency <em>of [f8_supp_2]</em> <font color=""red"">(1st trim)</font>",,"(eg. 2 daily)",,,,,[f8_supp_2_wks_1st_trim]>0,,,,,,
ab42_beb,form_8_current_pregnancy_ii,,descriptive,"<hr />",,,,,,,"[f8_supp_2] <>''",,,,,,
f8_supp_3,form_8_current_pregnancy_ii,,text,"<em>Third</em> medication",,"[Leave blank if none]<br>name, brand",,,,,"[f8_supp_2] <>''",,,,,,
f8_supp_3_dose,form_8_current_pregnancy_ii,,text,"Dose <em>of [f8_supp_3]</em>",,"(eg 1 tablet)",,,,,"[f8_supp_3] <>''",,,,,,
f8_supp_3_mths_pre,form_8_current_pregnancy_ii,,text,"No. of months taken <em>[f8_supp_3]</em> <font color=""red"">(pre-preg)</font>",,,number,,,,"[f8_supp_3] <>''",,,,,,
f8_supp_3_fq_pre,form_8_current_pregnancy_ii,,text,"Frequency <em>of [f8_supp_3]</em> <font color=""red"">(pre-preg)</font>",,"(eg. 2 daily)",,,,,"[f8_supp_3] <>''",,,,,,
f8_supp_3_wks_1st_trim,form_8_current_pregnancy_ii,,text,"No. of wks taken <em>[f8_supp_3]</em> <font color=""red"">(1st trim)</font>",,"[enter 0 if none]",number,,,,"[f8_supp_3] <>''",,,,,,
f8_supp_3_fq_1st_trim,form_8_current_pregnancy_ii,,text,"Frequency <em>of [f8_supp_3]</em> <font color=""red"">(1st trim)</font>",,"(eg. 2 daily)",,,,,[f8_supp_3_wks_1st_trim]>0,,,,,,
ab42_a7a,form_8_current_pregnancy_ii,,descriptive,"<hr />",,,,,,,"[f8_supp_3] <>''",,,,,,
f8_supp_more,form_8_current_pregnancy_ii,,notes,"More: (please list one per line)",,"[Leave blank if none]<br>name, brand, dose, mths taken (pre), freq (pre), wks taken (1st trim), freq (1st trim)",,,,,"[f8_supp_3] <>''",,LH,,,,
f8_alt_therapy,form_8_current_pregnancy_ii,"<div style=""font-size: 1.5em"">4. Alternative Therapies</div>",checkbox,"Alternative therapies","1, None | 2, Homeopathy | 3, Naturopathy | 4, Herbal | 5, Chinese | 6, Acupuncture | 7, Massage | 8, Chiropractor | 9, Skeletal osteopathy | 10, Cranial osteopathy | 11, Reflexology | 12, Aromatherapy | 13, Yoga or mediation | 14, Iridiology | 15, Other",,,,,,,,,,,,
f8_alt_therapy_comment,form_8_current_pregnancy_ii,,notes,Comments,,,,,,,"[f8_alt_therapy(15)] = '1'",,LH,,,,
f8_vaccinations,form_8_current_pregnancy_ii,"<div style=""font-size: 1.5em"">5. Vaccinations</div>",radio,"Have you been vaccinated against influenza or whooping cough (pertussis)","0, No | 1, Yes",,,,,,,,RH,,,,
f8_vacc,form_8_current_pregnancy_ii,,checkbox,Vaccinated,"1, Influenza | 2, Pertussis",,,,,,"[f8_vaccinations] = '1'",,RH,,,,
f8_influ_date,form_8_current_pregnancy_ii,,text,"Date vaccinated <em>for Influenza</em>",,mm/yyyy,,,,,"[f8_vacc(1)] = '1'",,,,,,
f8_influ_gest,form_8_current_pregnancy_ii,,text,"Gestation vaccinated <em>for Influenza</em>",,w+d,,,,,"[f8_vacc(1)] = '1'",,,,,,"Gestation of Influenza vaccine"
f8_pertu_date,form_8_current_pregnancy_ii,,text,"Date vaccinated <em>for Pertussis</em>",,mm/yyyy,,,,,"[f8_vacc(2)] = '1'",,,,,,
f8_pertu_gest,form_8_current_pregnancy_ii,,text,"Gestation vaccinated <em>for Pertussis</em>",,w+d,,,,,"[f8_vacc(2)] = '1'",,,,,,
f8_vacc_willing,form_8_current_pregnancy_ii,,radio,"Are you willing to be vaccinated","0, No | 1, Yes",,,,,,"[f8_vaccinations] = '0' or ([f8_vaccinations] = '1' and [f8_vacc(1)] = '1') or ([f8_vaccinations] = '1' and [f8_vacc(2)] = '1')",,RH,,,,
f8_vacc_willing_reason,form_8_current_pregnancy_ii,,notes,"Why not?",,,,,,,"[f8_vacc_willing] = '0'",,LH,,,,
f8_household_smoking,form_8_current_pregnancy_ii,"<div style=""font-size: 1.5em"">6. Drugs and Alcohol</div>
<div style=""font-size: 1.2em""><font color=""blue"">a) Household smoking</div></font>",radio,"Does anyone in your household other than you smoke","0, No | 1, Yes",,,,,,,,RH,,,,
f8_cig_prepreg,form_8_current_pregnancy_ii,"<div style=""font-size: 1.2em""><font color=""blue"">b) Your smoking, drug and alcohol use</div></font>",text,"Cigarettes per day <em><font color=""red"">(3 mths pre-preg)</font></em>",,"[enter 0 if none]",number,,,,,,,,,,
f8_cig_1st_trim,form_8_current_pregnancy_ii,,text,"Cigarettes per day <em><font color=""red"">(1st trim)</font></em>",,"[enter 0 if none]",number,,,,,,,,,,
f8_cig_gest_ceased,form_8_current_pregnancy_ii,,text,"Gestation ceased cigarette",,"[Leave blank if still smoking]",number,,,,"[f8_cig_prepreg] > 0 or [f8_cig_1st_trim] > 0",,,,,,
f8_alcohol_prepreg,form_8_current_pregnancy_ii,,text,"Alcohol per wk (standard drinks) <em><font color=""red"">(3 mths pre-preg)</font></em>",,"[enter 0 if none]",number,,,,,,,,,,
f8_alcohol_1st_trim,form_8_current_pregnancy_ii,,text,"Alcohol per wk (standard drinks) <em><font color=""red"">(1st trim)</font></em>",,"[enter 0 if none]",number,,,,,,,,,,
f8_alcohol_gest_ceased,form_8_current_pregnancy_ii,,text,"Gestation ceased alcohol",,"[Leave blank if still drinking]",number,,,,"[f8_alcohol_prepreg] > 0 or [f8_alcohol_1st_trim] > 0",,,,,,
f8_oth_drugs,form_8_current_pregnancy_ii,,checkbox,"Other drugs or binge alcohol","1, 3 months pre-preg | 2, 1st trimester",,,,,,,,RH,,,,
ab5,form_8_current_pregnancy_ii,,descriptive,"<hr />",,,,,,,"[f8_oth_drugs(1)] = '1' or [f8_oth_drugs(2)] = '1'",,,,,,
f8_drug_1,form_8_current_pregnancy_ii,,dropdown,"Drug taken / binge alcohol","1, Binge alcohol ≥6 drinks per session | 2, Cocaine/crack | 3, Amphetamines (not P/Crystal meth) | 4, Substance P/crystal meth | 5, Ecstasy | 6, Opiates | 7, Hallucinogens | 8, Herbal highs | 9, E-cigarettes (with nicotine) | 10, E-cigarettes (without nicotine) | 11, nicotine replacement (patches, gum, etc) | 12, Shisha (or hookah) | 13, Marijuana | 14, Cigars",,autocomplete,,,,"[f8_oth_drugs(1)] = '1' or [f8_oth_drugs(2)] = '1'",,,,,,
f8_drug_1_pre,form_8_current_pregnancy_ii,,text,"No. of times taken <em>[f8_drug_1] <font color=""red"">(3 mths pre-preg)</font></em>",,"total number of times taken",integer,,,,"[f8_drug_1] <>'' and [f8_oth_drugs(1)] = '1'",,,,,,
f8_drug_1_1st_trim,form_8_current_pregnancy_ii,,text,"No. of times taken <em>[f8_drug_1] <font color=""red"">(1st trim)</font></em>",,"total number of times taken",integer,,,,"[f8_drug_1] <>'' and [f8_oth_drugs(2)] = '1'",,,,,,
f8_drug_1_gest,form_8_current_pregnancy_ii,,text,"Gestation ceased <em>[f8_drug_1]</em>",,"[Leave blank if still using]",number,,,,"[f8_drug_1] <>''",,,,,,
ab52_3d6,form_8_current_pregnancy_ii,,descriptive,"<hr />",,,,,,,"[f8_drug_1] <>''",,,,,,
f8_drug_2,form_8_current_pregnancy_ii,,dropdown,"<em>Second</em> drug taken / binge alcohol","1, Binge alcohol ≥6 drinks per session | 2, Cocaine/crack | 3, Amphetamines (not P/Crystal meth) | 4, Substance P/crystal meth | 5, Ecstasy | 6, Opiates | 7, Hallucinogens | 8, Herbal highs | 9, E-cigarettes (with nicotine) | 10, E-cigarettes (without nicotine) | 11, nicotine replacement (patches, gum, etc) | 12, Shisha (or hookah) | 13, Marijuana","[Leave blank if none]",autocomplete,,,,"[f8_drug_1] <>''",,,,,,
f8_drug_2_pre,form_8_current_pregnancy_ii,,text,"No. of times taken <em>[f8_drug_2] <font color=""red"">(3 mths pre-preg)</font></em>",,"total number of times taken",integer,,,,"[f8_drug_2] <>'' and [f8_oth_drugs(1)] = '1'",,,,,,
f8_drug_2_1st_trim,form_8_current_pregnancy_ii,,text,"No. of times taken <em>[f8_drug_2] <font color=""red"">(1st trim)</font></em>",,"total number of times taken",integer,,,,"[f8_drug_2] <>'' and [f8_oth_drugs(2)] = '1'",,,,,,
f8_drug_2_gest,form_8_current_pregnancy_ii,,text,"Gestation ceased <em>[f8_drug_2]</em>",,"[Leave blank if still using]",number,,,,"[f8_drug_2] <>''",,,,,,
ab52_5f0,form_8_current_pregnancy_ii,,descriptive,"<hr />",,,,,,,"[f8_drug_2] <>''",,,,,,
f8_drug_3,form_8_current_pregnancy_ii,,dropdown,"<em>Third</em> drug taken / binge alcohol","1, Binge alcohol ≥6 drinks per session | 2, Cocaine/crack | 3, Amphetamines (not P/Crystal meth) | 4, Substance P/crystal meth | 5, Ecstasy | 6, Opiates | 7, Hallucinogens | 8, Herbal highs | 9, E-cigarettes (with nicotine) | 10, E-cigarettes (without nicotine) | 11, nicotine replacement (patches, gum, etc) | 12, Shisha (or hookah) | 13, Marijuana","[Leave blank if none]",autocomplete,,,,"[f8_drug_2] <>''",,,,,,
f8_drug_3_pre,form_8_current_pregnancy_ii,,text,"No. of times taken <em>[f8_drug_3] <font color=""red"">(3 mths pre-preg)</font></em>",,"total number of times taken",integer,,,,"[f8_drug_3] <>'' and [f8_oth_drugs(1)] = '1'",,,,,,
f8_drug_3_1st_trim,form_8_current_pregnancy_ii,,text,"No. of times taken <em>[f8_drug_3] <font color=""red"">(1st trim)</font></em>",,"total number of times taken",integer,,,,"[f8_drug_3] <>'' and [f8_oth_drugs(2)] = '1'",,,,,,
f8_drug_3_gest,form_8_current_pregnancy_ii,,text,"Gestation ceased <em>[f8_drug_3]</em>",,"[Leave blank if still using]",number,,,,"[f8_drug_3] <>''",,,,,,
ab52_a84,form_8_current_pregnancy_ii,,descriptive,"<hr />",,,,,,,"[f8_drug_3] <>''",,,,,,
f8_drug_more,form_8_current_pregnancy_ii,,notes,"More drug use / binge alcohol: (please list one per line)",,"[Leave blank if none]<br>drug, no. times pre-preg, no. times in 1st trim, gestation ceased",,,,,"[f8_drug_3] <>''",,LH,,,,
f9_lmp_date,form_9_routine_investigations,"<div style=""font-size: 1.5em"">1. E.D.D and Early Ultrasounds</div>",text,"Date of LMP",,,date_dmy,,,,,,,,,,
f9_lmp_date_certain,form_9_routine_investigations,,radio,"Is the date certain","0, No | 1, Yes",,,,,,,,RH,,,,
f9_scan_1_date,form_9_routine_investigations,"<div style=""font-size: 1.2em""><font color=""blue"">a) Early ultrasounds</div></font>",text,"Date of NT scan",,,date_dmy,,,,,,,,,,
f9_scan_1_gestw,form_9_routine_investigations,,calc,"Gestation <em>at NT scan</em>","round((datediff([f9_scan_1_date],[f1_lmp],""d"",""dmy""))/7,2)",wks,,,,,"[f9_scan_1_date] <>''",,,,,,
f9_scan_1_crl,form_9_routine_investigations,,text,"CRL (mm) <em>from NT scan</em>",,,number,15,90,,"[f9_scan_1_date] <>''",,,,,,
ab_f9_1,form_9_routine_investigations,,descriptive,"<hr />",,,,,,,,,,,,,
f9_scan_2,form_9_routine_investigations,,dropdown,"<em>Second</em> scan","1, Dating | 2, Vaginal bleeding | 3, Suspected ectopic/pain/viability | 4, Unknown | 5, Other","[Leave blank if none]",,,,,,,,,,,
f9_scan_2_date,form_9_routine_investigations,,text,"Date of <em>[f9_scan_2]</em> scan",,,date_dmy,,,,"[f9_scan_2] <>''",,,,,,
f9_scan_2_gestw,form_9_routine_investigations,,calc,"Gestation <em>at [f9_scan_2] scan</em>","round((datediff([f9_scan_2_date],[f1_lmp],""d"",""dmy""))/7,2)",wks,,,,,"[f9_scan_2] <>''",,,,,,
f9_scan_2_crl,form_9_routine_investigations,,text,"CRL (mm) <em>from [f9_scan_2] scan</em>",,,number,1,100,,"[f9_scan_2] <>''",,,,,,
f9_scan_2_comment,form_9_routine_investigations,,text,Comment,,,,,,,"[f9_scan_2] <>''",,LH,,,,
ab_f9_12_bc3,form_9_routine_investigations,,descriptive,"<hr />",,,,,,,"[f9_scan_2] <>''",,,,,,
f9_scan_3,form_9_routine_investigations,,dropdown,"<em>Third</em> scan","1, Dating | 2, Vaginal bleeding | 3, Suspected ectopic/pain/viability | 4, Unknown | 5, Other","[Leave blank if none]",,,,,"[f9_scan_2] <>''",,,,,,
f9_scan_3_date,form_9_routine_investigations,,text,"Date of <em>[f9_scan_3]</em> scan",,,date_dmy,,,,"[f9_scan_3] <>''",,,,,,
f9_scan_3_gestw,form_9_routine_investigations,,calc,"Gestation <em>at [f9_scan_3] scan</em>","round((datediff([f9_scan_3_date],[f1_lmp],""d"",""dmy""))/7,2)",wks,,,,,"[f9_scan_3] <>''",,,,,,
f9_scan_3_crl,form_9_routine_investigations,,text,"CRL (mm) <em>from [f9_scan_3] scan</em>",,,number,1,100,,"[f9_scan_3] <>''",,,,,,
f9_scan_3_comment,form_9_routine_investigations,,text,Comment,,,,,,,"[f9_scan_3] <>''",,LH,,,,
ab_f9_12_bc32_0c4,form_9_routine_investigations,,descriptive,"<hr />",,,,,,,"[f9_scan_3] <>''",,,,,,
f9_scan_4,form_9_routine_investigations,,dropdown,"<em>Fourth</em> scan","1, Dating | 2, Vaginal bleeding | 3, Suspected ectopic/pain/viability | 4, Unknown | 5, Other","[Leave blank if none]",,,,,"[f9_scan_3] <>''",,,,,,
f9_scan_4_date,form_9_routine_investigations,,text,"Date of <em>[f9_scan_4]</em> scan",,,date_dmy,,,,"[f9_scan_3] <>''",,,,,,
f9_scan_4_gestw,form_9_routine_investigations,,calc,"Gestation <em>at [f9_scan_4] scan</em>","round((datediff([f9_scan_4_date],[f1_lmp],""d"",""dmy""))/7,2)",wks,,,,,"[f9_scan_4] <>''",,,,,,
f9_scan_4_crl,form_9_routine_investigations,,text,"CRL (mm) <em>from [f9_scan_4] scan</em>",,,number,1,100,,"[f9_scan_4] <>''",,,,,,
f9_scan_4_comment,form_9_routine_investigations,,text,Comment,,,,,,,"[f9_scan_4] <>''",,LH,,,,
f9_final_edd,form_9_routine_investigations,"<div style=""font-size: 1.2em""><font color=""blue"">b) Final E.D.D.</div></font>",text,"Final E.D.D.",,,date_dmy,,,,,,,,,,
f9_study_date,form_9_routine_investigations,,text,"Date of study visit",,,date_dmy,,,,,,,,,,
f9_gestationw,form_9_routine_investigations,,calc,"G.A. at study visit","round((datediff([f9_study_date],[f1_lmp],""d"",""dmy""))/7,2)",wks,,,,,,,,,,,
f9_edd_method,form_9_routine_investigations,,dropdown,"Method of estimation","1, LMP | 2, Dating scan | 3, NT scan",,,,,,,,,,,," @HIDDEN @DEFAULT='[f1_edd_base_num]'"
